単語,意味
elevate,高める、上昇させる
elsewhere,他の場所で
employee,従業員
employment,雇用
encourage,奨励する
encouraging,〔形〕励みになる、元気づける
entire,完全な、全体の
equipment,装備、装置
eradicate,～を撲滅する
especially,特に
essentially,基本的に、本質的に
estimate,～と見積もる
European,ヨーロッパ人
even if ~,たとえ～だとしても
even though ~,～だけれども
eventually,最終的に
evidence,証拠
evolve into ~,～に進化する
examine,検証する
exceed,～を超える
exceptional,卓越した、例外的な
exclude,～を除外する
excuse for ~,～の理由
exercise,運動
exhaust,疲れ果てている
expansion,拡張、拡大
expect,～を予想する
expel,～を（吐き）出す
experience,経験する
experienced,経験豊かな
experiment with ~,～の実験をする
expert,専門家
expose A to B,AをBにさらす
expression,表現
extinction,絶滅
extremely,極めて、非常に
facility,施設
factor,要素、要因
fairly,公正に
fall into sleep,眠りに落ちる
family tree,家系図
family-run shop,家族経営の店
farmland,農地
fascinating,魅力的な
fashionable,流行の
favor,好み、人気
feed ~ to ...,～（餌・食物など）を…に与える
feel like doing,～したいと感じる
female,女性の
figure,～と思う、考える
financial,財政上の、金銭の、経済的な
flavor,風味
float,浮遊する
follow,～に従う
force,力
force O to do,Oに～することを強いる、無理やり～させる
forever,永遠に
fossil,化石
founder,創始者、創設者
further,さらなる
furthermore,さらに
gallon,ガロン［液体の量の単位］
gather,集まる
gather attention from ~,～から注目を集める
general,一般的な、全体的な
general public,一般大衆
genetically,遺伝子的に、遺伝学的に
geographically,地理的に
get along,うまくやっていく
get rid of ~,～を取り除く
go further and ~,さらに（進んで）～する
go through,～を経験する
good-looking,見た目のよい、美しい
govern,支配する
gradually,徐々に、次第に
greenhouse gas,温室（効果）ガス
guarantee,保証、～を保証する
guide,目安
guideline,指針
guilt-ridden,罪の意識に苦しむ
heartbroken,悲しみに打ちひしがれた
high-status,高い地位の
history,歴史
horse-like,馬に似た
huge,巨大な
human right,人権
humanity,人類
hunger,飢え、飢餓
hurry,急いで行く
ignore,無視する
ill effect,悪影響
imaginary,架空の
immortal,不死身の、不滅の
impact,影響、効果、影響（力）
imply,暗示する
impressive,印象的な
improve,～を向上させる、改善する、向上させる
in a way,ある意味で
in existence,存在している
in favor of ~,～に賛成している
in short,要するに
in silence,黙って
in terms of ~,～の観点から、～という点で
in the meantime,一方
inactive,活動していない
incentive,奨励金
include,～を含む
including ~,～を含め
income,収入
increase,増やす、増加
incredibly,信じられないほど
indeed,実に、確かに
independent,独立した
indicate,～を示す、意味する
infect,感染させる
infinitely,無限に、大いに
influence,～に影響を及ぼす
influential,影響力の強い、有力な
initially,当初、初めは
initiate,～を開始する
inspire O to do,Oを励まして～させる
install,～を設置する、取り付ける
instead of ~,～の代わりに
institute,研究所
interaction with ~,～との交流
intriguing,興味をそそる、非常に面白い
invade,～を侵略する
investigate,検証する
invest in ~,～に投資する
involve,～に関連する、～を巻き込む
irreparably,修復できないほど
issue,（重要な）問題（点）
it turns out that ...,…であることがわかる
judge,～を判断する
justify,正当化する
keep O C,OをCにしておく
keep O doing,Oを～させ続ける
keep on doing,～し続ける
keep up with ~,～に遅れずについていく
knock down,倒す
knowledgeable,知識豊かな、博識な
large doses of ~,大量の～
large-print,大きな活字の
last,続く、長持ちする
lawful,法を順守する
lazy,怠惰な
let O do,Oに～させる
lid,ふた
lie awake,目覚めたままでいる、眠らないでいる
life-like,本物そっくりの、生きているような
limit,～を制限する
line up,一列に並ぶ
liquid,液体
list,～を載せる
literature,文学
livestock,家畜
lizard,トカゲ
local,地元の
loneliness,孤独、寂しさ
low-status,低い地位の
maintain,保つ
major,大きな
majority,多数派
make sure (that) ~,～であることを確認する、～に確実になるようにする
make use of ~,～を利用する
manage to do,～をしてしまう、～をしでかす
mankind,人類
manual,手引書
manufacturer,製造業者
matter,重要である
maximum,最大限
measure,測る
medical,医学の
medicine,医学
meet,（要求など）を満たす
mention,～を述べる
merchant,商人
metropolis,大都市
minimum,最低の
misunderstanding,誤解
mix ... with ~,…と～を混ぜる
mouthful,ひとくち（分の量）
murky,濁った
mutter,つぶやく
mysterious,不可解な、不思議な、神秘的な
naked,裸の
negative,否定的な、悪い
neighbor,隣人
Norman,ノルマン人
notable,注目に値する
numerous,多数の、数多くの
nursing home,老人ホーム、高齢者福祉施設
nutrient,栄養素
nutritionist,栄養学者
obey,～に従う、従う
obvious,明らかな
occasion,機会
occupied,〔形〕夢中になって、忙しくして
occur,起こる
of one's own will,自分の意志で
offer,提供する、～を提示する、～を提供する
old wives' tale,言い伝え、迷信
on average,平均すると
on top of ~,～に加えて
oncoming,〔形〕近づいてくる
online,オンライン上で
opportunity,機会
option,選択肢
ordinary,普通の、通常の、一般的な
organism,有機体
organization,組織
organize,～を企画する、催す
other than ~,～以外の
otherwise,もしそうでなければ
over time,時とともに、時間をかけて
overheat,～を過熱する
overhunting,乱獲
overwhelm,圧倒する
own,所有する
paradox,逆説、矛盾
paralyzed,麻痺（まひ）した
parasite,寄生虫、寄生動物
particular,特定の
pass,（法案など）～を通す
pass ~ out,～を配る、渡す
pay attention to ~,～に注目する
peak,頂点、（変化量の）最大値
per ~,～当たり、～につき
period,期間、時間帯
persist,残る、存続する
philosopher,哲学者
physically,肉体的に
physics,物理学
place,置く
plain-looking,見た目が地味な［美しくない］
play a role in ~,～において役割を果たす、～の一因となる、～の中である役割を果たす
pollution,汚染
positive,前向きな
potential,潜在的な、可能性のある
pound,ポンド［重さの単位］
pour,注ぐ
pour out,噴き出す
praise,褒める
pray,祈る
prayer,祈り
predict,～を予測する、予測する
predator,捕食動物
prefer,より好む、好む
prepared,調理された
present,現在の、～を紹介する、示す
previous,前の
primitive,原始的な
probability,可能性
produce,～を生み出す、～を生産する
production,生産
productive,生産性が高い、生産力がある
profit,利益
progress,進歩する
promising,前途有望な
pronounce,～を発音する
pronunciation,発音
propose,提案する
protect,～を保護する
prove,立証する
provide,～を与える
provide for ~,～を養う
provide ~ with ...,～に…を提供する
psychological,心理的な、精神的な
psychologist,心理学者
public,［the ～で］一般大衆
public health,公衆衛生
publish,～を公表する
purchase,～を購入する
put ~ into action,～を実行する
put ~ on hold,～を保留する［中断する］
puzzle over ~,～について頭を悩ます
quarter,4分の1
quit,やめる
raise,～を上げる、育てる
random,行き当たりばったりの、偶然の
rapid,急速な
rarely,めったに～ない
rather than ~,～よりもむしろ
reach out,連絡する、接触する
reduction,減少
refer to ~,～に言及する
refer to ~ as ...,～を…と呼ぶ
reference,言及（した事柄）、引用（箇所）
reflection,反射、映像
reform,改革、改良
regard ~ as ...,～を…と見なす
regular,定期的な
relative,相対的な
remain,残っている
remove,取り外す、取り除く
replace,～に取って代わる
require,～を必要とする
required,必須の
resemble,似ている
resident,入居者、居住者
resolve,解決する
resource,資源
respect,尊敬、敬意
respond,反応する、対応する
response,回答、反応
rest,（～の）残り
restore ~ to ...,～を…に戻す［復元する］
result in ~,～という結果になる
reveal,～を明らかにする
revenue,税収、歳入
revive,生き返らせる
reward,ほうびを与える
road death,交通事故死（者）
roughly,おおよそ
ruin,破綻
ruler,支配者、統治者
rush,急いで行く
rustling,（紙などが）ガサガサいう音
sail,航海する
satisfy,満足させる
scholar,学者
second only to ~,～に次いで2番目の
second-class,二流の
selectively,選択的に
self-driving car,自動運転車
self-satisfaction,自己満足
senior,高齢者
separate,～を分ける、分離する
set,定められた、規定の
settle,（新しい環境などに）落ち着く
severe,ひどい、激しい
shelter,住む場所、すみか
shift,変化
show up,現れる
shrink,縮む
significant,重大な、かなりの、重要な
significantly,著しく、かなり
similarity to ~,～との類似点
sink,沈没する
slang,スラング、俗語
slightly,わずかに、少し
social distancing,社会的距離を置くこと、感染拡大を防ぐために物理的な距離をとること
socialize,社交的に活動する
solution,解決策
source,源、もと
species,種、（生物学の）種
specimen,標本、見本
spelling,つづり
spiritual,精神的な
split,分割した、分かれた
standard,基準
standard of living,生活水準
stare,じっと見る
startle,びっくりさせる
state,状態
steadily,しっかりと、堅実に
steal,盗む
stimulate,～を刺激する
stretch,広がる
striking,著しい、際立った
stripe,しま（模様）
structure,構造、建造物
stuffed,詰め物をした、剥製の
subject,被験者
successful,成功した
such as ~,～のような
suffer,被害にあう、苦しむ
sugar cube,角砂糖
suggest,示唆する、～を示す
suggestion,提案
supply,供給
supporter,支持者
survive,生き抜く、生存する、生き延びる
sustain,～を維持する
sustenance,（生命維持の）食物、食料
switch to ~,～に切り替える
take a look at ~,～を見る
take advantage of ~,～を利用する
temperate,温帯の
term,用語、言葉
terribly,ひどく
terrifying,恐ろしい
than usual,通常よりも
the Massachusetts Institute of Technology (MIT),マサチューセッツ工科大学
the National Police Agency,警察庁
theory,学説、理論
thick,厚い
thirst,のどの渇き
thought experiment,思考実験
thoughtful,心のこもった
thrive,繁栄する
tide,潮
tiny,非常に小さな
to name a few,いくつか例を挙げるなら
toxic,有毒な
toxin,毒素
track,線路、軌道
traditional,伝統的な
trait,特性
transaction,取引
transportation,輸送、交通（機関）
trend,風潮、傾向
trivia,雑学知識、豆知識
trolley,路面電車、トロリーバス
tropical rain forest,熱帯雨林
trousers,ズボン
turn out ~,～であることが判明する
ugliness,醜さ
unchanged,変わらない
undergo,～を経験する
unemployment,失業
unexpected,予想外の、予期しない（ような）
uninterrupted,間断ない
unrest,不安
unusually,通常ではないほどの
up to ~,（最大）～まで
upper class,上流階級
urban,都市部の
urbanization,都市化
valued,大切な、貴重な
variable,変数
vary,変化する
vegan diet,完全菜食主義の食事
vegetarian diet,菜食
vehicle,車、乗り物
version,版、型
virus,ウイルス
visibly,明らかに
visually,視覚的に
vital,不可欠な、とても重要な
vocabulary,語彙
voyage,航海
wage,賃金
warmth,暖かさ
warn,警告する
warning,警告
wax candle,ろうそく
weird,奇妙な
wheat,小麦
when it comes to ~,～のことになると、～に関しては
whereas,～に対して
worldwide,世界中で
yet,［文頭で］しかし
zebra,シマウマ
